project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $307984.,"['Data Analysis', 'UI/UX Design']",190500,PLCS0801,2022-09-24,2021-02-17
Build a Machine Learning System,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $234908.,['Machine Learning'],396000,PLCS0802,2022-09-30,2021-03-29
Build a Machine Learning Project,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $233785.,['Machine Learning'],182000,PLCS0803,2022-06-15,2021-03-15
Implement a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $272313.,"['UI/UX Design', 'Android Mobile App Programming']",315500,PLCS0804,2022-03-28,2021-04-23
Implement a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $325137.,['Machine Learning'],279500,PLCS0805,2021-04-15,2021-04-14
Develop a UI/UX Design Project,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $235590.,"['UI/UX Design', 'Android Mobile App Programming']",244500,PLCS0806,2021-11-19,2021-02-25
Implement a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $370385.,"['Android Mobile App Programming', 'Java Programming']",201500,PLCS0807,2021-02-03,2021-06-03
Implement a UI/UX Design System,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $34763.,"['UI/UX Design', 'Java Programming']",377000,PLCS0808,2022-11-30,2021-02-11
Build a UI/UX Design Project,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $390555.,"['UI/UX Design', 'C++ Programming']",246000,PLCS0809,2021-12-09,2021-05-25
Code a C++ Programming App,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $276621.,['C++ Programming'],274000,PLCS0810,2021-09-17,2021-04-27
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $334703.,"['Machine Learning', 'C++ Programming']",270000,PLCS0811,2022-01-24,2021-02-05
Code a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $202325.,['Data Analysis'],274500,PLCS0812,2021-11-16,2021-02-24
Build a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $166298.,['UI/UX Design'],53000,PLCS0813,2022-08-28,2021-02-11
Design a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $67004.,"['Android Mobile App Programming', 'Data Analysis']",93500,PLCS0814,2021-10-06,2021-05-08
Code a Data Analysis Project,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $176864.,['Data Analysis'],137000,PLCS0815,2021-11-20,2021-06-14
Implement a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $289875.,"['Machine Learning', 'Data Analysis']",102500,PLCS0816,2021-05-20,2021-06-22
Implement a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $53987.,"['Java Programming', 'Web Development']",399500,PLCS0817,2022-04-13,2021-04-15
Build a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $107403.,['Android Mobile App Programming'],164000,PLCS0818,2021-06-24,2021-05-29
Implement a UI/UX Design App,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $110129.,['UI/UX Design'],242500,PLCS0819,2021-10-15,2021-05-09
Code a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $159372.,['Machine Learning'],178000,PLCS0820,2021-08-29,2021-05-04
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $59287.,['Data Analysis'],128000,PLCS0821,2022-02-17,2021-06-06
Design a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 6 months of work and a budget of $267618.,"['Web Development', 'Data Analysis']",379500,PLCS0822,2022-01-23,2021-06-29
Design a Java Programming App,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $284336.,"['Java Programming', 'C++ Programming']",280500,PLCS0823,2021-12-03,2021-03-09
Code a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $79179.,"['Data Analysis', 'Web Development']",95500,PLCS0824,2022-05-18,2021-06-21
Implement a Web Development Project,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $180962.,['Web Development'],292000,PLCS0825,2021-06-11,2021-05-19
Create a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $164490.,"['Data Analysis', 'Web Development']",115000,PLCS0826,2021-12-31,2021-05-10
Build a Java Programming Project,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $133032.,['Java Programming'],225000,PLCS0827,2022-07-14,2021-04-10
Develop a Java Programming App,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $185343.,['Java Programming'],199000,PLCS0828,2022-10-09,2021-06-04
Design a UI/UX Design Project,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $193411.,"['UI/UX Design', 'C++ Programming']",377500,PLCS0829,2021-09-17,2021-05-07
Design a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $335359.,['Android Mobile App Programming'],262000,PLCS0830,2021-02-01,2021-03-27
Build a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $280262.,['Web Development'],97000,PLCS0831,2021-04-30,2021-03-28
Build a Data Analysis Tool,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $123582.,['Data Analysis'],202500,PLCS0832,2022-05-06,2021-01-31
Code a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $357991.,"['Data Analysis', 'Machine Learning']",156000,PLCS0833,2021-01-02,2021-05-07
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $84143.,"['Data Analysis', 'UI/UX Design']",33000,PLCS0834,2022-05-18,2021-02-03
Create a Machine Learning App,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $289705.,['Machine Learning'],205000,PLCS0835,2021-02-20,2021-05-23
Design a C++ Programming Project,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $340306.,"['C++ Programming', 'Data Analysis']",336000,PLCS0836,2022-01-21,2021-06-13
Create a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $52126.,"['Java Programming', 'Data Analysis']",81000,PLCS0837,2022-04-18,2021-03-10
Develop a Java Programming Platform,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $377521.,['Java Programming'],353500,PLCS0838,2021-07-14,2021-02-16
Create a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $164301.,"['Machine Learning', 'UI/UX Design']",53500,PLCS0839,2022-07-08,2021-04-24
Design a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $196561.,['Java Programming'],75500,PLCS0840,2021-07-19,2021-03-25
Code a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $264603.,"['UI/UX Design', 'Android Mobile App Programming']",37000,PLCS0841,2021-08-05,2021-05-14
Develop a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $250445.,"['Data Analysis', 'Android Mobile App Programming']",205000,PLCS0842,2021-10-17,2021-04-08
Implement a UI/UX Design Project,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $109613.,['UI/UX Design'],192000,PLCS0843,2021-07-29,2021-05-16
Code a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $148036.,"['UI/UX Design', 'Web Development']",102000,PLCS0844,2021-05-04,2021-05-05
Create a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $205361.,['Data Analysis'],292500,PLCS0845,2022-02-05,2021-03-06
Build a Machine Learning Platform,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $265132.,"['Machine Learning', 'Android Mobile App Programming']",262500,PLCS0846,2021-09-23,2021-04-15
Code a C++ Programming App,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $376632.,"['C++ Programming', 'Data Analysis']",73000,PLCS0847,2021-10-31,2021-04-27
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $369743.,"['Android Mobile App Programming', 'C++ Programming']",176000,PLCS0848,2021-02-27,2021-05-26
Build a UI/UX Design Project,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $322627.,"['UI/UX Design', 'Machine Learning']",141500,PLCS0849,2022-07-02,2021-02-27
Create a Web Development App,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $254535.,['Web Development'],125000,PLCS0850,2022-05-01,2021-02-02
Design a Java Programming System,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $201621.,"['Java Programming', 'Android Mobile App Programming']",88000,PLCS0851,2022-06-30,2021-05-17
Design a Web Development System,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 6 months of work and a budget of $340912.,"['Web Development', 'Java Programming']",203000,PLCS0852,2021-10-26,2021-05-18
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $145181.,"['Data Analysis', 'Machine Learning']",226500,PLCS0853,2021-05-31,2021-06-01
Implement a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $171561.,"['UI/UX Design', 'Android Mobile App Programming']",381500,PLCS0854,2022-04-22,2021-06-12
Create a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 3 months of work and a budget of $237783.,['Web Development'],215500,PLCS0855,2022-04-14,2021-03-20
Develop a Web Development Project,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 5 months of work and a budget of $251309.,"['Web Development', 'Java Programming']",80500,PLCS0856,2022-04-02,2021-05-13
Create a Web Development Tool,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 6 months of work and a budget of $153621.,"['Web Development', 'UI/UX Design']",247500,PLCS0857,2021-01-11,2021-05-22
Implement a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $74638.,['C++ Programming'],256500,PLCS0858,2021-08-24,2021-06-03
Develop a Web Development System,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 6 months of work and a budget of $324875.,"['Web Development', 'Java Programming']",283500,PLCS0859,2021-08-25,2021-05-16
Implement a UI/UX Design Project,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $346056.,"['UI/UX Design', 'Data Analysis']",348500,PLCS0860,2022-08-27,2021-06-02
Develop a Machine Learning App,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $140532.,['Machine Learning'],349500,PLCS0861,2022-10-19,2021-04-18
Implement a Data Analysis Project,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $322948.,"['Data Analysis', 'Web Development']",247000,PLCS0862,2022-09-09,2021-03-08
Create a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $369627.,['UI/UX Design'],380500,PLCS0863,2021-05-11,2021-02-28
Design a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $264119.,"['Android Mobile App Programming', 'Data Analysis']",44000,PLCS0864,2022-12-29,2021-03-25
Create a Machine Learning Tool,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $157731.,['Machine Learning'],314500,PLCS0865,2022-05-16,2021-05-01
Code a Web Development System,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 4 months of work and a budget of $260146.,"['Web Development', 'UI/UX Design']",377000,PLCS0866,2021-12-30,2021-02-04
Design a Data Analysis Project,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $365814.,"['Data Analysis', 'C++ Programming']",299000,PLCS0867,2021-07-03,2021-02-10
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $358252.,"['Data Analysis', 'Java Programming']",209000,PLCS0868,2021-08-08,2021-04-08
Build a C++ Programming Tool,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $30576.,"['C++ Programming', 'Machine Learning']",44500,PLCS0869,2021-10-31,2021-05-24
Code a Java Programming Tool,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $176600.,"['Java Programming', 'Machine Learning']",372000,PLCS0870,2022-01-29,2021-04-13
Develop a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $345956.,['UI/UX Design'],287000,PLCS0871,2021-06-11,2021-05-18
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $129630.,"['UI/UX Design', 'Android Mobile App Programming']",204500,PLCS0872,2022-05-26,2021-05-10
Build a Java Programming System,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $94003.,['Java Programming'],102500,PLCS0873,2022-05-25,2021-04-10
Implement a Java Programming Tool,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $391312.,"['Java Programming', 'Android Mobile App Programming']",200500,PLCS0874,2022-08-03,2021-05-19
Implement a C++ Programming Tool,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $282776.,"['C++ Programming', 'Android Mobile App Programming']",36500,PLCS0875,2022-12-11,2021-04-25
Create a Machine Learning Platform,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $241113.,"['Machine Learning', 'Data Analysis']",284500,PLCS0876,2022-06-26,2021-05-25
Design a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $107349.,"['C++ Programming', 'Web Development']",391000,PLCS0877,2021-06-01,2021-03-10
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $215441.,['Data Analysis'],56000,PLCS0878,2022-04-02,2021-03-27
Code a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $273416.,['Data Analysis'],304500,PLCS0879,2021-09-08,2021-05-11
Code a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $193282.,['Android Mobile App Programming'],349500,PLCS0880,2021-03-07,2021-05-22
Create a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $368572.,['Web Development'],78000,PLCS0881,2022-12-27,2021-02-11
Code a C++ Programming Project,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $156444.,"['C++ Programming', 'Android Mobile App Programming']",294500,PLCS0882,2022-02-26,2021-06-27
Code a Machine Learning System,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $84131.,"['Machine Learning', 'UI/UX Design']",139000,PLCS0883,2022-11-20,2021-03-25
Implement a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $121339.,['UI/UX Design'],396000,PLCS0884,2021-09-05,2021-05-20
Develop a C++ Programming App,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $97224.,"['C++ Programming', 'Machine Learning']",114000,PLCS0885,2021-06-04,2021-05-28
Implement a Java Programming Platform,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $91791.,['Java Programming'],53500,PLCS0886,2021-01-14,2021-05-03
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $192091.,"['Android Mobile App Programming', 'C++ Programming']",242000,PLCS0887,2021-02-17,2021-06-13
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $185665.,['Data Analysis'],123500,PLCS0888,2021-09-23,2021-05-31
Build a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $285580.,['C++ Programming'],98500,PLCS0889,2021-12-16,2021-03-31
Design a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $178613.,['C++ Programming'],385000,PLCS0890,2022-05-10,2021-05-05
Implement a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $170182.,['Data Analysis'],122000,PLCS0891,2022-01-23,2021-04-13
Create a C++ Programming App,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $269454.,['C++ Programming'],85000,PLCS0892,2022-05-24,2021-05-11
Create a C++ Programming System,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $357439.,"['C++ Programming', 'UI/UX Design']",83000,PLCS0893,2021-07-21,2021-06-20
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $270479.,"['Android Mobile App Programming', 'C++ Programming']",177500,PLCS0894,2021-12-12,2021-06-20
Design a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $248359.,"['Web Development', 'Machine Learning']",227000,PLCS0895,2021-03-21,2021-02-02
Code a UI/UX Design App,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $357092.,"['UI/UX Design', 'Machine Learning']",215500,PLCS0896,2021-03-04,2021-03-27
Develop a Data Analysis Platform,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $288568.,['Data Analysis'],51500,PLCS0897,2021-07-09,2021-06-08
Build a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $176329.,['C++ Programming'],247500,PLCS0898,2022-12-15,2021-05-02
Build a Web Development Platform,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 6 months of work and a budget of $328803.,"['Web Development', 'C++ Programming']",308000,PLCS0899,2022-02-14,2021-05-25
Implement a Java Programming Tool,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $192373.,['Java Programming'],333000,PLCS0900,2021-08-14,2021-04-08
Develop a Java Programming Platform,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $334675.,['Java Programming'],215500,PLCS0901,2022-07-24,2021-03-03
Create a Web Development Tool,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $89295.,"['Web Development', 'Machine Learning']",302500,PLCS0902,2022-02-05,2021-02-12
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $252103.,"['Machine Learning', 'Data Analysis']",80500,PLCS0903,2022-01-01,2021-03-25
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $128447.,['Android Mobile App Programming'],131500,PLCS0904,2022-08-14,2021-02-05
Build a Machine Learning System,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $153641.,['Machine Learning'],155000,PLCS0905,2022-03-29,2021-06-07
Create a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $344010.,"['UI/UX Design', 'Data Analysis']",119000,PLCS0906,2022-08-21,2021-05-29
Build a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $97493.,['Android Mobile App Programming'],263500,PLCS0907,2021-06-21,2021-04-08
Develop a Web Development Project,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 6 months of work and a budget of $262908.,"['Web Development', 'Data Analysis']",117000,PLCS0908,2021-12-09,2021-05-24
Develop a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $238728.,['C++ Programming'],41500,PLCS0909,2021-05-09,2021-05-03
Develop a C++ Programming Platform,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $352537.,"['C++ Programming', 'Data Analysis']",375500,PLCS0910,2022-07-04,2021-06-07
Implement a Java Programming Project,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $169297.,"['Java Programming', 'Android Mobile App Programming']",61000,PLCS0911,2021-12-30,2021-03-12
Code a Machine Learning Tool,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $330190.,['Machine Learning'],217500,PLCS0912,2021-10-17,2021-05-02
Develop a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $173410.,"['Web Development', 'Android Mobile App Programming']",320500,PLCS0913,2021-04-11,2021-03-13
Design a Data Analysis System,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $202004.,"['Data Analysis', 'Web Development']",65500,PLCS0914,2021-02-19,2021-06-03
Develop a C++ Programming System,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $174624.,"['C++ Programming', 'Android Mobile App Programming']",297000,PLCS0915,2021-12-29,2021-02-09
Implement a Java Programming Project,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $59783.,['Java Programming'],44000,PLCS0916,2021-09-10,2021-06-27
Develop a Machine Learning Tool,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $268289.,['Machine Learning'],280000,PLCS0917,2022-07-17,2021-03-23
Build a Java Programming App,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $123575.,['Java Programming'],273500,PLCS0918,2022-09-30,2021-04-05
Design a Machine Learning Tool,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $66859.,"['Machine Learning', 'Android Mobile App Programming']",61500,PLCS0919,2022-02-17,2021-06-14
Build a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $75372.,"['Android Mobile App Programming', 'UI/UX Design']",60000,PLCS0920,2021-04-11,2021-04-10
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $80795.,"['Data Analysis', 'Android Mobile App Programming']",279000,PLCS0921,2022-03-19,2021-06-07
Build a Machine Learning App,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $378738.,['Machine Learning'],392500,PLCS0922,2021-09-18,2021-03-29
Code a Machine Learning System,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $307045.,['Machine Learning'],220500,PLCS0923,2021-09-16,2021-02-14
Code a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $137790.,['Android Mobile App Programming'],191500,PLCS0924,2022-03-23,2021-02-01
Build a Data Analysis System,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $391436.,['Data Analysis'],154000,PLCS0925,2021-05-22,2021-02-10
Implement a Web Development System,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 4 months of work and a budget of $267028.,"['Web Development', 'Android Mobile App Programming']",360000,PLCS0926,2021-01-12,2021-06-03
Design a Web Development App,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $368545.,"['Web Development', 'Java Programming']",215000,PLCS0927,2022-08-13,2021-05-12
Create a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $392032.,"['Machine Learning', 'C++ Programming']",337500,PLCS0928,2021-11-23,2021-05-23
Build a Data Analysis System,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $326263.,"['Data Analysis', 'Machine Learning']",317500,PLCS0929,2022-03-31,2021-06-30
Design a Web Development System,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 4 months of work and a budget of $332366.,"['Web Development', 'C++ Programming']",151000,PLCS0930,2021-08-17,2021-05-18
Implement a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $331850.,"['Android Mobile App Programming', 'UI/UX Design']",350500,PLCS0931,2022-03-15,2021-04-07
Implement a Web Development Tool,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 6 months of work and a budget of $316454.,['Web Development'],155500,PLCS0932,2021-02-02,2021-05-24
Design a C++ Programming Platform,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $156680.,"['C++ Programming', 'Java Programming']",53000,PLCS0933,2021-10-03,2021-05-11
